,Spot,Country,Zone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Webcam url,DANGERS,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec,test
110,bernache,Mauritius,Mauritius1,-20.00608333,57.69516667,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Don't know,Right,North; SouthEast; East; NorthEast,Rising and falling tides,Empty,Powerful; Fun,Reef (coral;sharp rocks etc..) with sand,Easy to find,SouthWest; South; SouthEast,Long (150 to 300 m),All surfers,Instant access (&amp;lt; 5min),Public access,Regular,World Class,Normal (50 to 150m),Empty,By boat only,Reef-coral,All tides,,,1,1,4,1,4,1,3,3,3,2,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,19,14,20,18,13,13,17,23,22,21,15,bernacheMauritius
111,black_rocks,Mauritius,Mauritius1,-20.31838333,57.36751667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Take a car,Right,,,Empty,Hollow; Powerful; Ledgey,Reef (coral; sharp rocks etc..),OK,,Long (150 to 300 m),Experienced surfers,Short walk (5-15 mn),Public access,Regular,World Class,Normal (50 to 150m),Few surfers,Don't know,Reef-rocky,Mid and high tide,,,1,0,3,1,2,2,6,2,1,2,5,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,16,18,21,18,14,13,15,19,22,24,12,black_rocksMauritius
112,calamar,Mauritius,Mauritius3,,,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,In the city,Right and left,NorthWest,Falling tide,Empty,Fun,Reef (coral; sharp rocks etc..),Easy to find,NorthWest,Normal (50 to 150m),Beginners wave,Instant access (&amp;lt; 5min),Public access,Sometimes break,Normal,Short (&amp;lt; 50m),Empty,4x4,Reef-coral,Low tide only,,,3,3,3,2,5,4,4,1,3,4,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,16,16,19,20,17,10,19,23,25,24,17,calamarMauritius
113,cimetary,Mauritius,Mauritius3,,,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,Take a car,Left,SouthEast,Rising tide,Empty,Hollow; Fast; Powerful,Reef (coral; sharp rocks etc..),OK,South,Long (150 to 300 m),Pros or kamikaze only...,Good walk (15-30 mn),Public access,Regular,Regional Classic,Normal (50 to 150m),Empty,4x4,Point-break,High tide only,,,4,2,1,3,2,3,6,1,2,4,5,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,19,16,23,18,12,10,15,22,27,24,12,cimetaryMauritius
114,darne,Mauritius,Mauritius3,-20.45133333,57.70926667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Don't know,Left,SouthEast; East,Rising and falling tides,Empty,Powerless; Slab,Reef (coral; sharp rocks etc..),OK,North; NorthWest; NorthEast,Short (&amp;lt; 50m),All surfers,Short walk (5-15 mn),Public access,Regular,Regional Classic,Short (&amp;lt; 50m),Few surfers,Paddle &gt; 20mn or Boat,Reef-coral,Mid and high tide,,,4,2,1,2,3,2,5,1,2,2,2,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,15,18,23,19,14,14,15,19,22,22,12,darneMauritius
115,fausse_passe,Mauritius,Mauritius3,-20.4466,57.72315,Starts working at 2.5m-3m / 8ft-10ft and holds up to 4m+ / 12ft,Day trip,Right and left,West,Rising tide,Empty,Powerful; Fun; Slab,Reef (coral;sharp rocks etc..) with sand,OK,SouthWest,Normal (50 to 150m),All surfers,Short walk (5-15 mn),Public access,Regular,Regional Classic,Normal (50 to 150m),Few surfers,Paddle &gt; 20mn or Boat,Reef-coral,High tide only,,,3,2,1,3,5,2,6,1,1,3,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,17,18,19,21,17,15,15,19,22,23,14,fausse_passeMauritius
116,grand_sancho,Mauritius,Mauritius3,-20.50711667,57.44935,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Take a car,Right and left,SouthWest; South; SouthEast,Rising and falling tides,Empty,Hollow; Powerful; Fun; Powerless,Reef (coral; sharp rocks etc..),Easy to find,North; NorthWest; NorthEast,Normal (50 to 150m),Experienced surfers,Short walk (5-15 mn),Public access,Regular,Regional Classic,Short (&amp;lt; 50m),Few surfers,4x4,Reef-coral,All tides,,,1,3,2,3,3,3,3,1,1,2,4,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,19,18,20,17,15,12,14,21,25,24,16,grand_sanchoMauritius
117,La_Baie,Mauritius,Mauritius3,-20.32566667,57.37751667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,In the city,Right and left,NorthWest; West; SouthWest,Rising and falling tides,Few surfers,Ordinary; Fun,Sandy with rock,Easy to find,,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),Public access,Regular,Normal,Short (&amp;lt; 50m),Crowded,,Beach-break,All tides,,,4,0,2,1,5,4,4,3,1,1,2,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,20,19,19,19,16,11,15,20,27,21,14,La_BaieMauritius
118,le_morne,Mauritius,Mauritius2,-20.44406667,57.30795,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Take a car,Right and left,SouthWest,,Few surfers,Hollow,Reef (coral; sharp rocks etc..),Easy to find,NorthEast,,Experienced surfers,Instant access (&amp;lt; 5min),Public access,Regular,Regional Classic,Normal (50 to 150m),Few surfers,Paddle &gt; 20mn or Boat,Reef-coral,,,,2,3,4,2,4,2,5,1,3,2,2,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,16,15,21,17,17,11,18,20,25,21,17,le_morneMauritius
119,Le_Phare,Mauritius,Mauritius2,-20.41021667,57.76051667,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,Day trip,Right,SouthEast; East,Rising and falling tides,Empty,Fast; Powerful,Reef (coral; sharp rocks etc..),OK,South; SouthEast,Long (150 to 300 m),Experienced surfers,Short walk (5-15 mn),Public access,Regular,Regional Classic,Normal (50 to 150m),Empty,By boat only,Reef-coral,All tides,,,4,2,4,2,3,4,5,2,2,4,2,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,17,19,21,21,17,11,18,23,22,26,14,Le_PhareMauritius
120,Maconde,Mauritius,Mauritius1,-20.49628333,57.36856667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Take a car,Left,South; SouthEast,Rising and falling tides,Empty,Powerless; Slab,Reef (coral; sharp rocks etc..),Easy to find,North; NorthWest; NorthEast,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),Public access,Regular,Normal,Short (&amp;lt; 50m),Few surfers,Paddle &gt; 20mn or Boat,Reef-coral,Mid and high tide,,,3,1,2,4,2,1,6,2,0,4,3,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,15,19,19,19,12,10,17,20,27,26,15,MacondeMauritius
121,madame_barry,Mauritius,Mauritius1,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Take a car,Left,South; SouthEast,Rising and falling tides,Empty,Hollow; Powerful,Reef (coral; sharp rocks etc..),Hard to find,North; NorthEast,Normal (50 to 150m),Pros or kamikaze only...,Instant access (&amp;lt; 5min),Public access,Regular,World Class,Normal (50 to 150m),Few surfers,By boat only,Reef-coral,Mid and high tide,,,2,0,3,3,4,4,3,4,1,1,4,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,18,18,20,19,12,10,14,23,23,24,16,madame_barryMauritius
122,martello,Mauritius,Mauritius3,,,Starts working at  and holds up to ,Take a car,Right,North; NorthEast,Rising tide,,Fast; Powerful,Reef (coral; sharp rocks etc..),OK,East,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Sometimes break,Regional Classic,Short (&amp;lt; 50m),Empty,Paddle &gt; 20mn or Boat,Reef-coral,High tide only,,,3,2,1,2,5,3,6,2,0,1,4,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,15,18,20,17,16,11,17,21,24,25,16,martelloMauritius
123,martin_spot,Mauritius,Mauritius3,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Take a car,Right and left,NorthEast,Rising and falling tides,Empty,Powerful; Fun,Sandy with rock,OK,North,Normal (50 to 150m),All surfers,Short walk (5-15 mn),Private access,Sometimes break,Normal,Short (&amp;lt; 50m),Few surfers,Paddle &gt; 20mn or Boat,Beach-break,High tide only,,,1,3,4,2,3,1,4,4,2,1,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,19,14,19,17,12,13,19,18,27,23,13,martin_spotMauritius
124,one_eye,Mauritius,Mauritius3,-20.45246667,57.31021667,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Take a car,Left,West; SouthWest; South,,Few surfers,Hollow; Fast; Powerful,Reef (coral; sharp rocks etc..),Easy to find,,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Regular,World Class,Short (&amp;lt; 50m),Crowded,Don't know,Reef-coral,Mid and high tide,,,2,2,4,1,2,4,5,2,3,4,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,18,14,19,17,16,12,14,22,25,23,13,one_eyeMauritius
125,petit_sancho,Mauritius,Mauritius3,,,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Take a car,Left,South; SouthEast,Rising and falling tides,Empty,Ordinary,Sandy with rock,Easy to find,North; NorthWest; NorthEast,Short (&amp;lt; 50m),All surfers,Instant access (&amp;lt; 5min),Public access,Don't know,Normal,Short (&amp;lt; 50m),Few surfers,Don't know,Point-break,Mid tide,,,3,1,1,1,4,3,3,3,0,3,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,17,14,19,22,15,13,16,22,24,21,16,petit_sanchoMauritius
126,tagore,Mauritius,Mauritius3,,,Starts working at  and holds up to ,Take a car,Right and left,,Rising and falling tides,Empty,Hollow; Fast; Powerful,Reef (coral; sharp rocks etc..),OK,,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Regular,Regional Classic,Normal (50 to 150m),Few surfers,Don't know,Reef-coral,All tides,,,2,2,2,4,3,3,6,4,3,4,5,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,18,14,21,19,12,15,19,20,22,25,16,tagoreMauritius
127,tailors-point,Mauritius,Mauritius3,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Take a car,Right,North; NorthWest,,Empty,Hollow; Fast; Powerful; Fun,Reef (coral;sharp rocks etc..) with sand,OK,South; SouthEast,Short (&amp;lt; 50m),Experienced surfers,Short walk (5-15 mn),Public access,Rarely break (5day/year),World Class,Short (&amp;lt; 50m),Few surfers,By boat only,Point-break,Mid tide,,,2,1,2,3,4,4,3,1,3,3,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,16,15,24,19,14,11,18,22,25,25,15,tailors-pointMauritius
128,tamarin_bay,Mauritius,Mauritius3,-20.3277,57.3746,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,In the city,Left,SouthWest; South,Rising tide,Few surfers,Hollow; Fun; Powerless,Sandy,Easy to find,South,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Regular,World Class,Normal (50 to 150m),Crowded,Don't know,Reef-coral,High tide only,,,3,2,3,1,3,3,5,3,3,4,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,17,17,24,20,13,10,14,21,22,24,13,tamarin_bayMauritius
129,Mediterranean,Morocco,Morocco1,,,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,In the city,Left,SouthWest; South,Rising tide,Few surfers,Hollow; Fun; Powerless,Sandy,Easy to find,South,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Regular,World Class,Normal (50 to 150m),Crowded,Don't know,Reef-coral,High tide only,,,4,3,1,4,3,2,6,3,1,2,2,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,19,15,21,21,14,11,14,18,22,26,14,MediterraneanMorocco
130,North,Morocco,Morocco3,,,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,In the city,Left,SouthWest; South,Rising tide,Few surfers,Hollow; Fun; Powerless,Sandy,Easy to find,South,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Regular,World Class,Normal (50 to 150m),Crowded,Don't know,Reef-coral,High tide only,,,2,1,3,3,4,4,6,4,1,1,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,18,16,21,17,15,10,19,20,24,24,12,NorthMorocco
131,South,Morocco,Morocco2,,,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,In the city,Left,SouthWest; South,Rising tide,Few surfers,Hollow; Fun; Powerless,Sandy,Easy to find,South,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Regular,World Class,Normal (50 to 150m),Crowded,Don't know,Reef-coral,High tide only,,,4,2,4,3,2,4,5,1,1,1,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,19,16,21,18,12,15,15,20,25,22,17,SouthMorocco
132,Saada,Morocco,Morocco2,,,Starts working at 2.5m-3m / 8ft-10ft and holds up to 5m / 16 ft and over,In the city,Right,SouthWest; South,Rising tide,Few surfers,Powerful; Fun,Flat rocks,Easy to find,South,Long (150 to 300 m),All surfers,Instant access (&amp;lt; 5min),Public access,Don't know,Regional Classic,Normal (50 to 150m),Crowded,4x4,Reef-rocky,High tide only,,,3,0,4,2,5,3,6,3,3,3,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,18,18,24,19,13,12,19,20,24,24,16,SaadaMorocco
133,barra,Mozambique,Mozambique2,-23.78943333,35.51708333,Starts working at  and holds up to ,Take a car,Right and left,,,Empty,Ordinary,Sandy,Easy to find,,Exceptional (&gt;500m),All surfers,Instant access (&amp;lt; 5min),Public access,Sometimes break,World Class,Very Long (300 to 500 m),Empty,Don't know,Sand-bar,Mid and high tide,,,3,0,4,3,4,2,4,2,0,3,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,18,17,22,20,13,10,19,22,24,23,16,barraMozambique
134,guinjata_bay,Mozambique,Mozambique2,-24.07225,35.4994,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Week-end trip,Right,,Falling tide,Empty,Hollow; Fast; Powerless,Reef (coral;sharp rocks etc..) with sand,OK,NorthWest; SouthEast,Short (&amp;lt; 50m),All surfers,Short walk (5-15 mn),Private access,Regular,Regional Classic,Short (&amp;lt; 50m),Empty,4x4,Reef-coral,Mid tide,,,1,3,3,1,3,2,5,3,3,1,2,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,18,14,24,21,12,13,18,20,25,26,15,guinjata_bayMozambique
135,Inhambane,Mozambique,Mozambique1,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Take a car,Right,,,Empty,Hollow; Fast; Fun,Sandy with rock,OK,NorthWest; West,Long (150 to 300 m),Experienced surfers,Short walk (5-15 mn),Public access,Regular,World Class,Normal (50 to 150m),Few surfers,Don't know,Point-break,,,,4,0,3,4,5,2,4,4,1,2,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,16,18,23,19,15,12,15,19,24,26,17,InhambaneMozambique
136,jangamo_beach,Mozambique,Mozambique3,-24.0728,35.49851667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Surf trip,Right,Don't know,Rising tide,Empty,Hollow; Powerful; Ordinary,Reef (coral;sharp rocks etc..) with sand,OK,NorthWest; SouthWest,Long (150 to 300 m),All surfers,Short walk (5-15 mn),Private access,Regular,World Class,Short (&amp;lt; 50m),Empty,4x4,Point-break,All tides,,,2,1,2,3,2,4,5,1,2,1,2,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,18,14,19,18,15,11,16,19,24,24,13,jangamo_beachMozambique
137,ponta_do_ouro,Mozambique,Mozambique3,-26.84375,32.89491667,Starts working at  and holds up to 3m+ / 10ft+,Surf trip,Right,,,Empty,Fun,Sandy with rock,Hard to find,NorthWest,Very Long (300 to 500 m),All surfers,Instant access (&amp;lt; 5min),Private access,Regular,World Class,Long (150 to 300 m),Few surfers,4x4,Point-break,Low and mid tide,,,1,3,1,3,3,1,3,4,2,2,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,15,17,23,18,12,11,17,21,22,23,15,ponta_do_ouroMozambique
138,ponta_mamoli,Mozambique,Mozambique2,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Week-end trip,Right,West; SouthWest,,Empty,Hollow; Powerful,Sandy,Hard to find,West; SouthWest; South,Very Long (300 to 500 m),All surfers,Instant access (&amp;lt; 5min),Private access,Regular,World Class,Normal (50 to 150m),Empty,4x4,Point-break,,,,1,3,2,2,2,1,3,4,3,4,4,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,17,14,22,17,13,10,19,22,22,24,15,ponta_mamoliMozambique
139,ponta_zavora,Mozambique,Mozambique2,-24.51745,35.20516667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Week-end trip,Right and left,SouthEast; East,Rising tide,Empty,Hollow; Powerful; Fun,Sandy,OK,NorthWest; West,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),Public access,Very consistent (150 day/year),Normal,Short (&amp;lt; 50m),Few surfers,4x4,Beach-break,Low tide only,,,3,1,3,1,3,4,6,4,3,4,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,15,17,19,19,16,14,17,23,23,25,14,ponta_zavoraMozambique
140,pringles,Mozambique,Mozambique2,,,Starts working at  and holds up to ,,Right,,,Empty,Fun,Sandy with rock,OK,West,Very Long (300 to 500 m),All surfers,Good walk (15-30 mn),Public access,Regular,Regional Classic,Long (150 to 300 m),Empty,Don't know,Point-break,,,,2,2,2,3,5,4,5,2,2,4,5,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,17,19,20,17,13,12,18,22,24,24,14,pringlesMozambique
141,Shark_Bait_Reef,Mozambique,Mozambique2,,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Surf trip,Left,SouthWest; South,Rising tide,Empty,Hollow; Fast; Powerful; Ledgey; Slab,Reef (coral; sharp rocks etc..),OK,North; NorthEast,Short (&amp;lt; 50m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Don't know,Regional Classic,Short (&amp;lt; 50m),Empty,4x4,Reef-rocky,Mid and high tide,,,3,1,1,1,5,4,3,3,0,3,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,19,18,22,17,17,13,15,23,24,25,14,Shark_Bait_ReefMozambique
142,tofhino,Mozambique,Mozambique1,-23.86546667,35.55285,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Day trip,Right,,Falling tide,Empty,,Reef (coral;sharp rocks etc..) with sand,OK,,Very Long (300 to 500 m),Experienced surfers,Short walk (5-15 mn),Public access,Regular,Totally Epic,Short (&amp;lt; 50m),Empty,4x4,Reef-coral,Low and mid tide,,,4,0,4,3,5,4,4,2,2,1,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,20,17,20,18,15,15,18,22,23,26,16,tofhinoMozambique
143,affenrucken_point,Namibia,Namibia2,-27.93071667,15.67551667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Surf trip,Left,West; SouthWest,Falling tide,Empty,Fun; Powerless,Reef (coral;sharp rocks etc..) with sand,Hard to find,NorthEast,Long (150 to 300 m),Experienced surfers,Good walk (15-30 mn),Private access,Very consistent (150 day/year),World Class,Normal (50 to 150m),Empty,4x4,Point-break,Low and mid tide,,,4,3,4,4,4,4,6,4,0,2,2,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,20,17,21,18,16,15,15,19,23,25,14,affenrucken_pointNamibia
144,angras_juntas_left,Namibia,Namibia3,-27.74803333,15.54621667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Surf trip,,West; SouthWest,Rising tide,Empty,Hollow; Powerful,Reef (coral; sharp rocks etc..),Hard to find,NorthEast,Very Long (300 to 500 m),Experienced surfers,Good walk (15-30 mn),Private access,Very consistent (150 day/year),Totally Epic,Long (150 to 300 m),Empty,4x4,,All tides,,,2,0,1,3,5,3,3,4,0,3,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,20,19,21,22,17,15,15,21,25,23,12,angras_juntas_leftNamibia
145,Unnamed,Namibia,Namibia1,-21.51666667,13.85,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Day trip,Left,,Falling tide,Empty,,Flat rocks with sand,Easy to find,,Exceptional (&gt;500m),All surfers,Instant access (&amp;lt; 5min),Private access,Very consistent (150 day/year),World Class,Very Long (300 to 500 m),Empty,4x4,Point-break,All tides,,,2,3,3,3,2,3,5,2,1,1,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,16,14,23,21,12,11,16,22,24,21,16,UnnamedNamibia
146,cape_cross,Namibia,Namibia2,-21.75625,13.96575,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Day trip,Left,NorthWest; West; SouthWest; South,Rising tide,Empty,Fun,Sandy with rock,Easy to find,SouthWest; South,Exceptional (&gt;500m),All surfers,Instant access (&amp;lt; 5min),Public access,Very consistent (150 day/year),World Class,Long (150 to 300 m),Empty,Don't know,Point-break,Mid and high tide,,,2,2,4,4,2,3,4,3,1,4,3,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,19,18,20,17,16,14,19,21,24,21,16,cape_crossNamibia
147,delarey_point,Namibia,Namibia2,-27.66326667,15.52483333,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Week-end trip,Left,West; SouthWest,Rising and falling tides,Empty,Hollow; Powerful; Fun,Reef (coral; sharp rocks etc..),Hard to find,NorthEast,Exceptional (&gt;500m),Experienced surfers,Good walk (15-30 mn),Private access,Very consistent (150 day/year),World Class,Long (150 to 300 m),Empty,4x4,Reef-rocky,All tides,,,3,2,2,3,2,3,3,3,1,3,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,17,17,23,20,15,14,19,23,25,25,17,delarey_pointNamibia
148,east_hill_point,Namibia,Namibia1,-25.43831667,14.84115,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Surf trip,Left,West; SouthWest,Rising tide,Empty,Hollow; Powerful; Fun,Sandy with rock,Hard to find,NorthEast,Long (150 to 300 m),All surfers,Good walk (15-30 mn),Private access,Very consistent (150 day/year),World Class,Normal (50 to 150m),Empty,4x4,Point-break,Mid and high tide,,,4,3,1,2,4,2,6,2,0,1,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,18,16,20,18,14,14,17,21,25,26,12,east_hill_pointNamibia
149,elizabeth_bay,Namibia,Namibia3,-26.94496667,15.22965,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,Surf trip,Left,West; SouthWest,,Empty,Hollow; Powerful; Ledgey,Reef (coral; sharp rocks etc..),Hard to find,NorthEast,Exceptional (&gt;500m),Experienced surfers,Good walk (15-30 mn),Private access,Very consistent (150 day/year),Totally Epic,Very Long (300 to 500 m),Empty,4x4,Point-break,,,,3,1,2,2,4,2,4,3,1,4,2,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,15,15,19,22,15,12,15,21,22,23,12,elizabeth_bayNamibia
150,guns,Namibia,Namibia3,-22.84501667,14.53645,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,Take a car,Left,West; SouthWest,Rising tide,Empty,Hollow; Powerful,Flat rocks with sand,OK,East; NorthEast,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Don't know,World Class,,Empty,Don't know,Reef-rocky,Low and mid tide,,,3,1,3,3,2,3,4,3,0,1,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,16,16,20,21,13,13,19,23,24,21,15,gunsNamibia
151,henties_bay,Namibia,Namibia3,,,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Surf trip,Left,West; SouthWest,Falling tide,Empty,Hollow; Ordinary; Fun; Powerless,Reef (coral;sharp rocks etc..) with sand,OK,NorthEast,Very Long (300 to 500 m),All surfers,Short walk (5-15 mn),Private access,Regular,World Class,Short (&amp;lt; 50m),Empty,4x4,Point-break,All tides,,,2,1,2,1,3,2,4,3,2,1,3,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,19,16,20,22,16,14,15,23,25,26,12,henties_bayNamibia
152,hottentot_bay,Namibia,Namibia3,-26.13486667,14.9439,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Surf trip,Left,West; SouthWest,Rising tide,Empty,Hollow; Fast; Powerful; Ledgey,Reef (coral; sharp rocks etc..),Hard to find,NorthEast,Very Long (300 to 500 m),Experienced surfers,Good walk (15-30 mn),Private access,Very consistent (150 day/year),Totally Epic,Normal (50 to 150m),Empty,4x4,Point-break,Mid and high tide,,,2,1,3,2,3,4,3,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,18,18,19,18,16,13,14,20,25,26,12,hottentot_bayNamibia
